run_id,candidate_hash,overrides_hash,status,fold_index,seed,macro_f1,val_loss,best_val_macro_f1,overfit_gap,generalization_ratio,selection_score_proxy,best_epoch,stop_epoch,early_stopped,elapsed_sec,optimizer.lr,optimizer.weight_decay,augmentation.mix,train.label_smoothing,train.class_weight_mode,scheduler.name,preprocess.target_size,model.backbone,train.batch_size,train.grad_accum_steps,trial_dir
run_id=4,f851b4d859,544ce66e74,completed,0,42,0.9336921273728905,0.2144863855625902,0.947192621630577,0.013500494257686513,0.9857468333796291,,5.0,7.0,True,160.43581830197945,0.0001,0.005,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=4
run_id=40,0ba21db0be,74489f6cd0,completed,0,42,0.865768284794495,0.5264420104878289,0.95627992786227,0.09051164306777504,0.9053502636303257,,9.0,10.0,False,235.33943608001573,0.00013,0.005,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=40
run_id=41,0ba21db0be,6d03ed39f6,completed,1,42,0.8665908313946152,0.4001246318221092,0.95262335292622,0.08603252153160479,0.9096888384403611,,6.0,8.0,True,186.794905251998,0.00013,0.005,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=41
run_id=42,37c86a68d3,379e3dbeba,completed,0,42,0.9337647621676542,0.3799916218434061,0.9527916766946104,0.01902691452695615,0.9800303518677204,,10.0,10.0,False,234.152036976011,0.00013,0.005,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=42
run_id=43,37c86a68d3,892bfa7342,completed,1,42,0.9393415358033305,0.2802339036549841,0.963461943917352,0.024120408114021497,0.9749648564052774,,9.0,10.0,False,237.4996242329944,0.00013,0.005,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=43
run_id=44,3ea3805fde,59738fe8a4,completed,0,42,0.9456803360925886,0.3026882080095155,0.9633460356502719,0.017665699557683268,0.9816621453725517,,10.0,10.0,False,233.06130241800565,0.00013,0.005,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=44
run_id=45,3ea3805fde,7980de5e72,completed,1,42,0.8676543690298836,0.5068672278097698,0.9715849550725018,0.10393058604261818,0.8930298524076439,,6.0,8.0,True,186.28560591704445,0.00013,0.005,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=45
run_id=46,494f6ff71a,db8959d208,completed,0,42,0.9162927081148028,0.3603439810020583,0.9640274621721995,0.04773475405739669,0.950484030869994,,6.0,8.0,True,187.06649394298438,0.00013,0.005,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=46
run_id=47,494f6ff71a,f3b3b02864,completed,1,42,0.9372864950190767,0.319193925176348,0.9616778004768004,0.024391305457723722,0.9746367177804973,,9.0,10.0,False,233.28278160799528,0.00013,0.005,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=47
run_id=48,5d90d19a5b,982f22c18f,completed,0,42,0.9189868790561594,0.22847489374024527,0.9458653316716429,0.026878452615483495,0.9715832141051404,,3.0,5.0,True,116.17539382795803,0.00013,0.01,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=48
